% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 24 2025, 17:02
% Dimension:          1
% Nodes:              41
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),real(my)/c_const (C*m),real(pz) (C*m)
600,5.65018111237913E-32,-1.5443154449080573E-32,-2.5829031322683275E-32
610,8.326032577344E-32,-2.4335065829528274E-32,-2.63986212806429E-32
619.9999999999999,1.155945163749266E-31,-3.504713602642279E-32,-2.685506992789297E-32
629.9999999999999,1.5614811768394134E-31,-4.7064291962723165E-32,-2.690211901860048E-32
639.9999999999999,2.083877811510689E-31,-5.92747550256697E-32,-2.645866414473808E-32
650,2.7451085932262584E-31,-6.861842744062548E-32,-2.55177907448531E-32
660,3.507100842226222E-31,-6.801457610387079E-32,-2.4205279472420474E-32
670,4.153783000543207E-31,-4.5106846896252576E-32,-2.2636071830847367E-32
680,4.334033711143719E-31,9.522687210841817E-33,-2.1082270652006332E-32
690,3.80688151646383E-31,8.524444889360272E-32,-1.9666592899917721E-32
700,2.8656331186693556E-31,1.5200920704644407E-31,-1.8451066628152762E-32
710,1.9770483752570526E-31,1.9267583237749735E-31,-1.7355395470649792E-32
720,1.4068492604821678E-31,2.0723904814389077E-31,-1.6383110159546927E-32
729.9999999999999,1.1404587499552274E-31,2.037091034002791E-31,-1.5424632540296476E-32
739.9999999999999,1.1090139813132404E-31,1.872638150891125E-31,-1.44020586272717E-32
749.9999999999999,1.2312303892000532E-31,1.6100174941427174E-31,-1.3190741992781725E-32
759.9999999999999,1.4299433744486438E-31,1.2824911668798616E-31,-1.1710839124889147E-32
770,1.6445335876094678E-31,9.164260279567341E-32,-9.849462801790904E-33
780,1.8226984993271585E-31,5.537388883211353E-32,-7.557557266635567E-33
790,1.941240315048509E-31,2.191067966228456E-32,-4.7624366122005964E-33
800,1.9917599875458814E-31,-6.549221622658662E-33,-1.451667934412846E-33
810,1.9821368687471805E-31,-2.8895676494569477E-32,2.3208197861986377E-33
820,1.927584577476435E-31,-4.5684317362059285E-32,6.524433169149151E-33
830,1.843333437836054E-31,-5.757271729837547E-32,1.1051812106480497E-32
839.9999999999999,1.7420408742680257E-31,-6.551122013061539E-32,1.5821496446882902E-32
849.9999999999999,1.6347567928624925E-31,-7.043051097004368E-32,2.06990383262858E-32
859.9999999999999,1.526420602591513E-31,-7.313269945319638E-32,2.561410144490651E-32
869.9999999999999,1.4223642342271365E-31,-7.427531835454911E-32,3.04516982539861E-32
879.9999999999999,1.3220725303949757E-31,-7.420207153037678E-32,3.51983159825616E-32
890,1.2293583933300694E-31,-7.339438831555607E-32,3.9752158733197307E-32
900,1.1440594618201392E-31,-7.199560331730197E-32,4.4052249028112413E-32
910,1.065632993334929E-31,-7.022637686732621E-32,4.81271965799357E-32
920,9.936182579359314E-32,-6.823853426542343E-32,5.198958895836694E-32
930,9.283911662600036E-32,-6.62122107470922E-32,5.563107682740276E-32
940,8.678963960268485E-32,-6.403901520945115E-32,5.908739150148272E-32
949.9999999999999,8.131367054845551E-32,-6.193648468976854E-32,6.234905988130519E-32
960,7.629330197992022E-32,-5.984923863821619E-32,6.544009568681007E-32
969.9999999999999,7.168681416126429E-32,-5.780194691392531E-32,6.837455859188001E-32
980,6.745791049596906E-32,-5.580857554752739E-32,7.116328842569054E-32
989.9999999999999,6.355808203662432E-32,-5.388383378216317E-32,7.382787988275416E-32
1000,6.000097110389524E-32,-5.209283737879046E-32,7.637394064029603E-32
