% Model:              2D-Free-Space.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 10 2025, 01:30
% Dimension:          1
% Nodes:              211
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
79.99999999999999,3.59186493032008E-14,3.553732687774401E-14,8.353297324858761E-17,1.4579534617156033E-17,7.155408868881055E-14
82,4.329572506453203E-14,2.75001381449162E-14,1.0776398319156178E-16,2.3123096915215963E-17,7.092675028955502E-14
84,5.2112650918316925E-14,2.2798474445775464E-14,1.3837212885156434E-16,3.6845373872417024E-17,7.508634286681637E-14
85.99999999999999,6.263981398086756E-14,1.9851265383962396E-14,1.7688388551252815E-16,5.916757881656291E-17,8.272713082915904E-14
88,7.516609036207252E-14,1.7911597771487474E-14,2.2518800802286858E-16,9.610695826388694E-17,9.339898309984674E-14
90,8.994391419232018E-14,1.6595784961430026E-14,2.8561383374998E-16,1.586486351738306E-16,1.06983961622674E-13
91.99999999999999,1.0695465400401477E-13,1.568622062902633E-14,3.610455632864862E-16,2.679139952904263E-16,1.23269834191618E-13
94,1.2547363982402936E-13,1.5055111407765055E-14,4.550625227034939E-16,4.670560636820702E-16,1.4145086981817998E-13
96,1.4296993860354016E-13,1.462212693511033E-14,5.722576828809748E-16,8.524451375555924E-16,1.5901676835908705E-13
97.99999999999999,1.5371316752892763E-13,1.4331519772793647E-14,7.179866659364288E-16,1.6678177578519256E-15,1.7043049172550962E-13
100,1.4892729499326216E-13,1.4146016410085024E-14,8.996595133470773E-16,3.644547026762827E-15,1.6761751794345708E-13
101.99999999999999,1.2324347803358438E-13,1.4041997451908375E-14,1.1266816797118178E-15,9.632678345742175E-15,1.4804483551094674E-13
103.99999999999999,8.401367214653067E-14,1.4003315858817278E-14,1.4117612854741143E-15,3.702447281625543E-14,1.3645322210707748E-13
106,4.63996976078078E-14,1.4010113361781507E-14,1.7699033809702159E-15,1.8690944484870685E-13,2.4908915919926635E-13
107.99999999999999,2.056969980267497E-14,1.3926012639441468E-14,2.2060485517885393E-15,6.984794085884374E-14,1.0654970185274873E-13
109.99999999999999,6.536748540756405E-15,1.392332122756349E-14,2.77244451530785E-15,2.585367320923768E-14,4.9086187492865426E-14
112,8.918541738750588E-16,1.3916845187586694E-14,3.4992512838000045E-15,1.4433847868471448E-14,3.2741798513733206E-14
113.99999999999999,4.882069734818677E-16,1.3887476396477804E-14,4.443553444685577E-15,9.926874083876801E-15,2.874611089852205E-14
115.99999999999999,3.121369736593265E-15,1.3818040783471306E-14,5.691636626594484E-15,7.686553657601024E-15,3.0317600804260076E-14
118,7.429556249259786E-15,1.3691683638759497E-14,7.381096933815353E-15,6.412765982001145E-15,3.491510280383578E-14
120,1.2619778940592365E-14,1.348708484223031E-14,9.742110920599383E-15,5.622757829743253E-15,4.147173253316531E-14
121.99999999999999,1.819453077378759E-14,1.3183543564442863E-14,1.319448545635009E-14,5.112976575019843E-15,4.9685536369600383E-14
123.99999999999999,2.387790567540994E-14,1.2751147656059029E-14,1.8566646382358335E-14,4.77344513011932E-15,5.996914484394662E-14
126,2.951267589251018E-14,1.2158477420137282E-14,2.7733953671179974E-14,4.543514537865692E-15,7.394862152169313E-14
127.99999999999999,3.4997016839262355E-14,1.136704111518437E-14,4.5680686497135596E-14,4.387646657633372E-15,9.643239110921569E-14
129.99999999999997,4.026463090261938E-14,1.0334466637146692E-14,8.878029440564938E-14,4.282616244459759E-15,1.436620081898752E-13
132,4.530175959316655E-14,9.031556852159271E-15,2.0872695854897965E-13,4.21348377758975E-15,2.672737587718952E-13
134,5.028324081936622E-14,7.444170341629685E-15,2.0966484811268319E-13,4.200071002147051E-15,2.7159233027582614E-13
135.99999999999997,5.49061093372228E-14,5.436998455115522E-15,5.426836937998996E-14,4.198010247885822E-15,1.188094874202141E-13
138,5.936828476944557E-14,3.171297008728471E-15,1.379615917695018E-14,4.18773084471573E-15,8.052347179983995E-14
140,6.363752502094747E-14,1.0778445754174318E-15,3.2590918283981607E-15,4.180047708389453E-15,7.215450913315252E-14
141.99999999999997,6.761664130388737E-14,2.8954531678251094E-16,4.136086581009779E-16,4.175825403541501E-15,7.249562068231235E-14
