% Model:              2D-Au-Plate_fromR2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 9 2025, 23:57
% Dimension:          1
% Nodes:              211
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
79.99999999999999,2.372561946080054E-13,7.251345565190215E-14,9.637429814926299E-17,9.331622131552178E-17,3.099593407793724E-13
82,3.4270203951103365E-13,5.6131392066754323E-14,2.857478000226427E-16,1.6049119021162764E-16,3.9927967056802227E-13
84,4.1945929613341593E-13,4.244293804497117E-14,6.198514983235545E-16,2.3572431686067756E-16,4.627578099935713E-13
85.99999999999999,4.5414320926260457E-13,3.238182550316341E-14,1.048145316349179E-15,3.072666120651909E-16,4.878804466941824E-13
88,4.5061771328622244E-13,2.5628392534696895E-14,1.5109862801944724E-15,3.663224857848573E-16,4.781234145868987E-13
90,4.2120306703403196E-13,2.1342758610098223E-14,1.9661447007905487E-15,4.0848372087965106E-16,4.4492045406580036E-13
91.99999999999999,3.7826812008671124E-13,1.8677687000434778E-14,2.393490267288939E-15,4.3232638489388113E-16,3.9977162373932884E-13
94,3.304645781221761E-13,1.6977724517325667E-14,2.785513680103523E-15,4.385067307562137E-16,3.506663230503615E-13
96,2.826819918222079E-13,1.579596637850789E-14,3.1361371983681125E-15,4.346855579411383E-16,3.0204878095702505E-13
97.99999999999999,2.372909246146077E-13,1.483457942306145E-14,3.4314582589950033E-15,4.618718932513792E-16,2.560188341899156E-13
100,1.9542362006715907E-13,1.3882800595848224E-14,3.64174823508342E-15,7.168527985890117E-16,2.1366502169667971E-13
101.99999999999999,1.578900488518983E-13,1.2768068295347552E-14,3.7107634054896205E-15,2.2485733766592525E-15,1.7661745392939473E-13
103.99999999999999,1.2522800853786866E-13,1.139750662644543E-14,3.6080000921364115E-15,1.2874680106043846E-14,1.5310819536249435E-13
106,7.095755067834513E-14,1.2734596035134387E-14,5.944473695168943E-15,1.0291008809185165E-13,1.9254670850050012E-13
107.99999999999999,1.873091724475517E-14,1.2969543607261778E-14,8.839822063376934E-15,7.587961601787274E-14,1.164198989332666E-13
109.99999999999999,9.653823284572829E-15,9.828753179990841E-15,8.189613858858474E-15,3.6890236627047437E-14,6.456242695046959E-14
112,1.8172573802053633E-15,7.788077383048453E-15,8.039155143757694E-15,2.5748632945655165E-14,4.3393122852666675E-14
113.99999999999999,1.314787934320926E-15,6.125298183249593E-15,7.871992281788349E-15,2.1050796585073787E-14,3.636287498443266E-14
115.99999999999999,9.94402135218987E-15,4.9858914700592616E-15,7.834435457341015E-15,1.8349554824313804E-14,4.111390310390395E-14
118,2.6746923892136762E-14,4.5614628429328405E-15,8.396439640587075E-15,1.6298122484387847E-14,5.600294886004453E-14
120,4.880115972724216E-14,4.963750777910348E-15,1.016753799210844E-14,1.43844237653886E-14,7.831687226264954E-14
121.99999999999999,7.197445666434988E-14,6.1655095916520455E-15,1.3871153982783667E-14,1.2398951065581252E-14,1.0441007130436683E-13
123.99999999999999,9.165722026169618E-14,7.981305034273392E-15,2.0333653709004997E-14,1.0248409036960202E-14,1.3022058804193475E-13
126,1.0328448460246484E-13,9.990369639258649E-15,3.0176834758989304E-14,7.914632576476614E-15,1.5136632157718942E-13
127.99999999999999,1.0460299489730615E-13,1.1263071375549886E-14,4.194217646567054E-14,5.658784370428788E-15,1.6346702710895534E-13
129.99999999999997,1.0374682913556371E-13,1.0502704720146394E-14,4.7882728523108706E-14,4.407125304588071E-15,1.665393876834069E-13
132,1.1559047018146229E-13,8.183294073885918E-15,4.010538526438459E-14,4.717498967190025E-15,1.6859664848692282E-13
134,1.349269049372215E-13,6.231428097656057E-15,2.5779209475216062E-14,5.483914387036088E-15,1.7242145689712973E-13
135.99999999999997,1.4755915340114998E-13,4.808617178535336E-15,1.3990907602388994E-14,6.002849597878773E-15,1.7236152777995308E-13
138,1.3859497527467557E-13,2.510239557433531E-15,4.82354812908153E-15,8.116061052795542E-15,1.5404482401398617E-13
140,1.8305479793488772E-13,7.140683696884878E-16,1.376103660019784E-15,6.760590215727213E-15,1.9190556018032323E-13
141.99999999999997,1.959948544314633E-13,2.550777487788229E-16,2.3675449294217496E-16,6.158835310018252E-15,2.0264552198320255E-13
144,2.108007386214309E-13,4.026445937867272E-15,1.5751284923179778E-16,6.091996528085116E-15,2.210766939366151E-13
146,2.339011496476216E-13,2.2363819267090448E-14,9.736501147394335E-16,6.3096999064463536E-15,2.6354831893589785E-13
147.99999999999997,2.687282876969318E-13,7.738580742816514E-14,2.9258829618345725E-15,6.744346572428913E-15,3.5578432465936047E-13
150,3.0585681451822436E-13,1.8900113226680682E-13,7.622965262149568E-15,6.9369875719761885E-15,5.094178996191569E-13
152,3.1060013884564306E-13,3.24350193757957E-13,1.7111675451353056E-14,6.01401276960244E-15,6.580760208245555E-13
153.99999999999997,2.687267299074918E-13,4.0923880778098474E-13,2.9189005114660196E-14,4.1890878017671305E-15,7.113436306049039E-13
156,2.1299022624726943E-13,4.3286146198317067E-13,3.956654334254722E-14,2.5289413069110548E-15,6.879471728798984E-13
158,1.6305481598507388E-13,4.3223318621762174E-13,4.5695746012682895E-14,1.3583453614168237E-15,6.423420935767953E-13
159.99999999999997,1.1625238383094399E-13,4.2112746188244615E-13,4.1254365799536444E-14,5.919405850110244E-16,5.792261520979376E-13
162,9.307280343323917E-14,3.382112259388354E-13,1.6352620260297495E-14,5.271648194795509E-16,4.4816381445185156E-13
164,1.3883945161671035E-13,2.225570694894806E-13,2.236582523953663E-14,8.791540524026894E-16,3.8464150039813027E-13
165.99999999999997,1.436346983925853E-13,2.196914979498056E-13,5.048368901865562E-14,6.167101577924753E-16,4.1442659551883894E-13
168,1.3158360767657494E-13,2.1708703874374448E-13,6.092332709958756E-14,3.36028299090404E-16,4.099300018189974E-13
170,1.4252451207117096E-13,2.3894043122321693E-13,8.272878421277074E-14,5.1562160353465996E-17,4.642452896675121E-13
171.99999999999997,1.3622256175177082E-13,2.4983367841545733E-13,9.696058586334807E-14,5.4370479633853295E-17,4.830711965102101E-13
174,1.331678138939916E-13,2.5564825793389737E-13,1.0763540786446106E-13,4.332905011722584E-16,4.968847701935223E-13
176,1.3290664451104569E-13,2.6017207022537136E-13,1.1681837975921384E-13,1.805938742241364E-15,5.117030332378722E-13
177.99999999999997,1.3404777362855416E-13,2.6549814013837906E-13,1.2556589493879045E-13,6.095769425420705E-15,5.312075781311444E-13
180,1.331789783746459E-13,2.7479361320951816E-13,1.3540628803200742E-13,1.944646946440978E-14,5.628253490805813E-13
182,1.2332579327450672E-13,2.926751862950374E-13,1.4756040455182661E-13,6.130093744611855E-14,6.248623215674893E-13
183.99999999999997,1.0059099885277972E-13,3.142350077241123E-13,1.5468890277862056E-13,1.7650585969721765E-13,7.460207690527303E-13
186,7.604835447229087E-14,2.914115458261479E-13,1.3903441510647005E-13,2.459050319208087E-13,7.523993473257175E-13
188,5.771654464383396E-14,2.4185426318203264E-13,9.903050368676025E-14,2.1839203738060756E-13,6.169933488932345E-13
189.99999999999997,4.274522197744779E-14,1.867338170929809E-13,4.5922605262965135E-14,2.1054281842558893E-13,4.859444627589828E-13
192,2.735393826616512E-14,1.3847832185880788E-13,1.1584933414787593E-14,1.9997418081683165E-13,3.7739137435659223E-13
194,1.1479277282533063E-14,1.3841250235101918E-13,7.80247132124082E-14,1.4359462222204785E-13,3.715111150680083E-13
195.99999999999997,2.933661526959383E-15,1.7182682357270616E-13,1.0952140505864404E-13,9.776514643168241E-14,3.8204703658999195E-13
197.99999999999997,5.209834363964105E-16,1.904167250098006E-13,1.1399819578325492E-13,8.022835875975658E-14,3.8516426298920845E-13
