% Model:              3D-Au-Plate-from-domen-size-free-space.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 12 2025, 15:30
% Dimension:          1
% Nodes:              39
% Expressions:        3
% Description:        Table graph
% Rs (um),F_x (N),F_y (N),F_z (N)
0.19999999999999998,1.9788418939547825E-27,2.0927156482382565E-29,-4.2121539839225244E-27
0.30000000000000004,1.973520558203444E-27,3.4042865841886835E-30,-4.214623644048968E-27
0.39999999999999997,1.98570850910427E-27,2.1138190242952239E-29,-4.189951347631088E-27
0.5,1.9459234273286243E-27,-1.835355223128276E-29,-4.224125233057852E-27
0.6000000000000001,1.961337233476024E-27,-6.651273548657434E-30,-4.210195237568498E-27
0.7,1.9603913323640723E-27,-7.26827500060652E-30,-4.221625355831371E-27
0.7999999999999999,2.031862828310645E-27,5.525658986146565E-29,-4.178967458343892E-27
0.9,1.9347097410279546E-27,-2.8037962352053345E-29,-4.233329279285316E-27
1,1.96883272353327E-27,1.0436560849874705E-29,-4.205984957185837E-27
1.1,1.964199177073323E-27,5.2387430154512365E-31,-4.22632946439689E-27
1.2,2.0010142954130514E-27,2.815340567399622E-29,-4.2098437336661295E-27
1.3,1.989611506464382E-27,2.1449176115217393E-29,-4.21484056578384E-27
1.4000000000000001,1.965008204799403E-27,3.671061919492187E-30,-4.1996704167457616E-27
1.5,1.9677403256476086E-27,-1.14788960860563E-29,-4.219803177549586E-27
1.5999999999999999,1.96499932140494E-27,-8.816595430507268E-30,-4.2343099828074684E-27
1.6999999999999997,1.9421233664215576E-27,-3.012138351090885E-29,-4.230230071897486E-27
1.7999999999999998,1.9802416314254077E-27,2.661369304752388E-29,-4.206188362913628E-27
1.9,1.95714491731966E-27,-8.559720928275413E-30,-4.240294811613142E-27
2,1.929456544073446E-27,-3.240599541033026E-29,-4.229016708162142E-27
2.0999999999999996,1.9566459851258815E-27,-2.7103604695140744E-29,-4.214608948359889E-27
2.2,1.9310580242880312E-27,-3.782694035429516E-29,-4.25259617373402E-27
2.3,2.0007868626509893E-27,3.6042435284788955E-29,-4.2012809943884365E-27
2.4000000000000004,1.995592671995007E-27,3.2957655681685615E-29,-4.2058551535121236E-27
2.5,1.983557884342755E-27,2.878129259127729E-29,-4.210776962325141E-27
2.6000000000000005,1.919081487899068E-27,-4.6407009485772224E-29,-4.228739549413491E-27
2.7,1.9654017370816963E-27,-3.4184191715939136E-30,-4.232426602052697E-27
2.8000000000000003,1.9499275742739615E-27,-3.9834710250111113E-29,-4.230479663686772E-27
2.9000000000000004,1.9422528646906575E-27,-2.067585787818627E-29,-4.244902025391253E-27
3.0000000000000004,1.9600871362809933E-27,-1.1345085357387887E-29,-4.215383471203783E-27
3.1000000000000005,1.963694463197614E-27,-3.291118403770108E-30,-4.218047665215496E-27
3.1999999999999997,1.952758269566818E-27,-6.045941548796843E-30,-4.2153979263238565E-27
3.3000000000000003,1.975345629337159E-27,1.0738864779978538E-29,-4.217056188779903E-27
3.4,1.9510692072795562E-27,-2.56521527018301E-29,-4.223688641579541E-27
3.5000000000000004,1.9692395673018376E-27,1.4116846841257617E-29,-4.209673625143072E-27
3.6,1.952027069966966E-27,-1.299907736265874E-29,-4.217875591198982E-27
3.7,1.972093268802717E-27,2.1961920877167384E-29,-4.200865448603197E-27
3.8,1.9570005966112488E-27,-1.7476803937324212E-29,-4.206320880659799E-27
3.9,1.945713448591557E-27,-1.6175986850354786E-29,-4.232274308181453E-27
4,1.979299849735179E-27,1.0343370000642952E-29,-4.205718940198943E-27
