% Model:              2D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 6 2025, 10:15
% Dimension:          1
% Nodes:              80
% Expressions:        3
% Description:        Table graph
% r_air (um),F_x (N),F_y (N),F_z (N)
0.19999999999999998,1.5379541680116717E-27,-3.195419472489872E-27,8.3354058544097E-26
0.2734177215189873,2.6877394623537677E-27,-2.7999787393402606E-27,8.307312468824226E-26
0.3468354430379747,2.8942768787150384E-27,-2.701383544809341E-27,8.212585952127233E-26
0.42025316455696204,2.6602081004823265E-27,-2.7600648814100777E-27,8.134979987508223E-26
0.4936708860759494,2.3951947284167503E-27,-2.8432560549804475E-27,8.092556024634848E-26
0.5670886075949367,2.305617939595473E-27,-2.85905018682305E-27,8.100148465044905E-26
0.640506329113924,2.4060219600640083E-27,-2.833768435286701E-27,8.148144417144814E-26
0.7139240506329114,2.569209873556119E-27,-2.795835679637831E-27,8.189225017298393E-26
0.7873417721518987,2.6151599571412026E-27,-2.784659179506364E-27,8.178895213844147E-26
0.860759493670886,2.517632618378562E-27,-2.8066089263284356E-27,8.132686265542316E-26
0.9341772151898735,2.4098231163047417E-27,-2.8365140282603613E-27,8.105069955380077E-26
1.0075949367088608,2.41005715479012E-27,-2.8337205505591953E-27,8.118851427337903E-26
1.081012658227848,2.4884762571834583E-27,-2.816191923858014E-27,8.168625118822518E-26
1.1544303797468354,2.5636390177419255E-27,-2.7878638069189486E-27,8.180829236560782E-26
1.2278481012658229,2.5435274456361475E-27,-2.7991452561292396E-27,8.15380339821161E-26
1.3012658227848102,2.463744433690304E-27,-2.827720381554041E-27,8.118855839470248E-26
1.3746835443037975,2.4283549224386773E-27,-2.8335420297911335E-27,8.11535381292881E-26
1.4481012658227848,2.4623938842511175E-27,-2.8226486779259354E-27,8.146774755257215E-26
1.521518987341772,2.5246568139245865E-27,-2.795588348510552E-27,8.174740405122408E-26
1.5949367088607596,2.5386168718994987E-27,-2.796632865877643E-27,8.165411544894651E-26
1.6683544303797468,2.496057869203571E-27,-2.816936743923382E-27,8.131098416413859E-26
1.741772151898734,2.4522851161479333E-27,-2.8291430761731007E-27,8.114782573314931E-26
1.8151898734177214,2.4559353545776645E-27,-2.8246189422189887E-27,8.131766805936587E-26
1.8886075949367087,2.4963198906562205E-27,-2.8052209090988094E-27,8.164751778369454E-26
1.962025316455696,2.5260026025466335E-27,-2.793834866758872E-27,8.170869642138418E-26
2.0354430379746837,2.509235784562317E-27,-2.8094173694087287E-27,8.147047359488356E-26
2.108860759493671,2.4725187881499496E-27,-2.826183623459422E-27,8.117433663021146E-26
2.182278481012658,2.460911609592733E-27,-2.8265396240913347E-27,8.123645095569124E-26
2.255696202531646,2.484164738868466E-27,-2.8096600911368254E-27,8.151803775458483E-26
2.329113924050633,2.5119982205616268E-27,-2.796678322065186E-27,8.173411537328248E-26
2.4025316455696206,2.5154552705595696E-27,-2.8023593191386043E-27,8.153435529975972E-26
2.4759493670886075,2.488631944623782E-27,-2.823288089541885E-27,8.127043482004108E-26
2.549367088607595,2.4711347817812185E-27,-2.82728630540826E-27,8.117324613071442E-26
2.6227848101265825,2.4803943361858097E-27,-2.8150791961316132E-27,8.142037922259538E-26
2.6962025316455698,2.5037573744227523E-27,-2.79638663131672E-27,8.162767280701626E-26
2.769620253164557,2.5103725185401924E-27,-2.802903275517115E-27,8.162899522401733E-26
2.8430379746835444,2.4971699990743773E-27,-2.8199089623191514E-27,8.137620927512074E-26
2.916455696202532,2.4781181167820796E-27,-2.8292079134835966E-27,8.121546875309107E-26
2.9898734177215194,2.4771944073189628E-27,-2.8204980045674337E-27,8.129664973128784E-26
3.0632911392405067,2.4897720597520677E-27,-2.8047755526200464E-27,8.156179837733403E-26
3.1367088607594935,2.5016655550729027E-27,-2.7980759555648372E-27,8.164847699926941E-26
3.2101265822784812,2.4978660939643274E-27,-2.8148898841205435E-27,8.146633057039006E-26
3.283544303797468,2.485688352139815E-27,-2.828748107125377E-27,8.125928889015711E-26
3.356962025316456,2.4818826535454188E-27,-2.826247856809135E-27,8.125397739897019E-26
3.430379746835443,2.491135266306006E-27,-2.8102248909049923E-27,8.149779757052216E-26
3.503797468354431,2.5040910563828634E-27,-2.796219380626542E-27,8.164517791634276E-26
3.5772151898734177,2.5037252180813206E-27,-2.8093740151104126E-27,8.154764001976474E-26
3.6506329113924054,2.4966726688998698E-27,-2.8282016679942834E-27,8.130011310374896E-26
3.7240506329113927,2.4909061990158435E-27,-2.833726450262284E-27,8.120921032053254E-26
3.79746835443038,2.4967086379172713E-27,-2.8214233143958066E-27,8.136789804785337E-26
3.8708860759493673,2.507490839733619E-27,-2.8038327970302574E-27,8.156990429520612E-26
3.9443037974683546,2.5080105035320034E-27,-2.8089606284655132E-27,8.155965891832369E-26
4.017721518987341,2.5041592987004697E-27,-2.8234437034832303E-27,8.135093135793944E-26
4.09113924050633,2.4885267015666536E-27,-2.8381467549931913E-27,8.120663964520452E-26
