% Model:              3D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 6 2025, 02:40
% Dimension:          1
% Nodes:              40
% Expressions:        6
% Description:        Table graph
% Rs (nm),F_x (N),-F_x_m (N),F_y (N),-F_y_m (N),F_z (N),-F_z_m (N)
200,2.9717960339535818E-27,2.746629193159499E-27,-2.680686329298093E-27,-2.508159612333383E-27,8.0305992674326E-26,8.034132537592653E-26
297.43589743589746,2.2779152990571104E-27,2.3434788596564153E-27,-3.0953988913509543E-27,-2.9121058101003066E-27,8.144595323470339E-26,8.161996364014623E-26
394.87179487179486,2.446757761561831E-27,2.382948061325935E-27,-2.596415690124637E-27,-2.886452843340535E-27,8.198792088784351E-26,8.211162814490605E-26
492.30769230769226,2.5232962817550686E-27,2.2046551746761322E-27,-2.668116441316419E-27,-3.0129206437692346E-27,8.15681194733717E-26,8.176745017570737E-26
589.7435897435897,2.970843987769301E-27,2.2480618379821687E-27,-2.3100080708852205E-27,-2.9623792759799605E-27,8.138551819848855E-26,8.147947406769383E-26
687.1794871794872,2.2676309258128944E-27,2.408935760795205E-27,-2.8791430515747003E-27,-2.8062540942908443E-27,8.150882532259873E-26,8.169973614952953E-26
784.6153846153844,2.3212573186574688E-27,2.3912242351224156E-27,-2.751255631522799E-27,-2.823134260869987E-27,8.174600181353061E-26,8.189981042823019E-26
882.0512820512819,2.0606856655281057E-27,2.339529090015724E-27,-3.141022967784908E-27,-2.892148882161999E-27,8.152003518762622E-26,8.16828428278254E-26
979.4871794871794,2.5284016731110607E-27,2.4414588392861863E-27,-2.5373224657391737E-27,-2.901622100953007E-27,8.135865138377082E-26,8.150087331826439E-26
1076.9230769230767,2.4319688532452746E-27,2.5034692475055894E-27,-2.91173646251286E-27,-2.9563893753592206E-27,8.155647399718069E-26,8.158520781840105E-26
1174.3589743589744,2.6614994968881518E-27,2.3150869644827158E-27,-2.64688792412073E-27,-2.9404261248975555E-27,8.15304127360005E-26,8.169610031876335E-26
1271.7948717948718,2.428748855464739E-27,2.3551917610413485E-27,-3.0219427219064592E-27,-3.009908590100532E-27,8.130053897941741E-26,8.135634962439378E-26
1369.230769230769,2.6350214347089718E-27,2.3633359698683676E-27,-2.449803499897906E-27,-2.9202274708639757E-27,8.103845861690782E-26,8.125672329887529E-26
1466.6666666666665,2.5726040605073257E-27,2.4427957035356008E-27,-2.600786642579559E-27,-2.8313645894067503E-27,8.131056911321683E-26,8.156830151183231E-26
1564.1025641025637,2.7612022789528317E-27,2.3404273956928242E-27,-2.566014031107992E-27,-3.006726709359183E-27,8.146374232907164E-26,8.164791353317674E-26
1661.5384615384614,2.150855339964556E-27,2.1544740907068554E-27,-3.2327058281743984E-27,-2.9791811860859442E-27,8.15258383291647E-26,8.165327082784466E-26
1758.9743589743587,2.2269360010687546E-27,2.2474999476245743E-27,-2.7520270957461567E-27,-2.8820630547948425E-27,8.132866603332204E-26,8.150634798228403E-26
1856.4102564102561,2.5455607517114876E-27,2.374677771424493E-27,-2.7199417311204928E-27,-2.891921263931491E-27,8.136120685992715E-26,8.165246995350775E-26
1953.8461538461538,2.4649990186730526E-27,2.3173187173423506E-27,-2.7175197859261412E-27,-2.8576185671138505E-27,8.164202252324984E-26,8.187756402904684E-26
2051.2820512820513,2.2792300204633596E-27,2.38898137587429E-27,-3.003356576247387E-27,-2.9431676442295038E-27,8.167384359559903E-26,8.160662892784612E-26
2148.7179487179483,2.578333771925075E-27,2.3551465082871913E-27,-2.7911984325506752E-27,-3.0295948636548917E-27,8.138964294560457E-26,8.144751358822818E-26
2246.1538461538457,2.7351639736659004E-27,2.3143264880320445E-27,-2.5192239175067065E-27,-2.9062431375044686E-27,8.172227001580626E-26,8.176721649998322E-26
2343.5897435897436,2.4892357955865493E-27,2.400777442738592E-27,-2.706566235951626E-27,-2.828621856178547E-27,8.174640286352188E-26,8.164690535576544E-26
2441.0256410256407,2.6799819173959643E-27,2.3324616018733627E-27,-2.8027721048590972E-27,-2.8719919725182654E-27,8.132450249718004E-26,8.146199696876031E-26
2538.461538461538,2.2309737284786425E-27,2.366445512106473E-27,-3.192573228964341E-27,-3.0415364184543765E-27,8.142126155381141E-26,8.142641847922666E-26
2635.8974358974356,2.888794249419928E-27,2.4378328699262753E-27,-2.371275642753995E-27,-2.8373816954766734E-27,8.121571574023761E-26,8.150561258664781E-26
2733.333333333333,2.7338992574755915E-27,2.311710263263864E-27,-2.445642354292886E-27,-2.897065589397E-27,8.138316881510833E-26,8.163654861874139E-26
2830.76923076923,2.4820985587368814E-27,2.349123406080903E-27,-2.8404289505600753E-27,-2.850916265785292E-27,8.145036807178905E-26,8.155226722785368E-26
2928.205128205128,2.1665353460663724E-27,2.365769109831969E-27,-2.9416746855051235E-27,-2.805581133371559E-27,8.145275806310868E-26,8.142309652619083E-26
3025.6410256410254,2.2054238924237046E-27,2.2531638350337883E-27,-3.0569891212936352E-27,-2.946632847593777E-27,8.161490776573235E-26,8.163713423434709E-26
3123.0769230769224,2.097753132673582E-27,2.4239446608509775E-27,-3.2041801658525935E-27,-2.8944947650536155E-27,8.152169197996758E-26,8.162680818471581E-26
3220.5128205128203,2.253954693780715E-27,2.370056222248313E-27,-3.0441535156576063E-27,-2.8586658139519137E-27,8.153411790425994E-26,8.160852099147935E-26
3317.948717948718,2.4460105246614198E-27,2.410208064653716E-27,-2.595334640255165E-27,-2.884107881265888E-27,8.14509786945545E-26,8.15904101095517E-26
3415.384615384615,2.697086412526672E-27,2.2975416612627988E-27,-2.517718861454964E-27,-2.993551843530617E-27,8.153816979671986E-26,8.17305672985344E-26
3512.8205128205127,2.5010880098767466E-27,2.358356884531415E-27,-2.8058486773519605E-27,-2.9173202406217745E-27,8.16498609960384E-26,8.183148470131662E-26
3610.25641025641,2.6056142701467736E-27,2.2552971737331347E-27,-2.7432724663471994E-27,-2.9885990194154995E-27,8.145057861922665E-26,8.145615237441079E-26
3707.692307692307,2.603501855803346E-27,2.3187594666094227E-27,-2.8031375239265878E-27,-2.9867735770590116E-27,8.118159525252461E-26,8.139915897232365E-26
3805.1282051282046,2.6216586510204585E-27,2.5448479549342133E-27,-2.7038772880216745E-27,-2.9245040631765026E-27,8.135370854655638E-26,8.161158932420999E-26
3902.5641025641025,2.392652784248603E-27,2.4162850995134355E-27,-2.8131039754391564E-27,-2.9628977446762935E-27,8.145684947700239E-26,8.172903029088861E-26
4000,2.41207619179701E-27,2.418873493026336E-27,-2.797754048127677E-27,-2.7786895474471724E-27,8.151094128705754E-26,8.157488882534007E-26
