% Model:              3D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 5 2025, 18:30
% Dimension:          1
% Nodes:              40
% Expressions:        6
% Description:        Table graph
% Rs (nm),F_x (N),-F_x_m (N),F_y (N),-F_y_m (N),F_z (N),-F_z_m (N)
200,2.0427684700823718E-27,2.0214543887648073E-27,-8.280346807044245E-28,-7.988403131264306E-28,-4.022242999071734E-27,-4.125433770462199E-27
297.43589743589746,3.5687827899713485E-27,3.669161337429393E-27,2.531968572386275E-28,3.7459654310229734E-28,-4.949805982496657E-27,-4.951161835475845E-27
394.87179487179486,4.657633164829538E-27,4.653770025888512E-27,1.4350028287893088E-27,1.2984919417133141E-27,-4.6592900336679065E-27,-4.720522491388945E-27
492.30769230769226,3.896337083810171E-27,3.81296003822435E-27,1.3042680742785808E-27,1.1860532807753403E-27,-3.316033133210254E-27,-3.380869625008076E-27
589.7435897435897,2.2948964014885197E-27,1.9706847676715466E-27,4.942518075778808E-28,1.5961064742957716E-28,-2.552226147047933E-27,-2.7161611359119558E-27
687.1794871794872,9.356058257061818E-28,1.0210621176432277E-27,-6.8466221104103215E-28,-6.997927709372365E-28,-4.377724780922276E-27,-4.361726019675585E-27
784.6153846153844,1.3370889908932618E-27,1.3849613328726377E-27,-6.374155217439612E-28,-6.805950046934969E-28,-7.33641897261929E-27,-7.39857406741469E-27
882.0512820512819,1.7920701465627146E-27,1.9288823229180205E-27,-2.4318261976359745E-28,-1.2223113863070224E-28,-9.224917873970006E-27,-9.201086880453843E-27
979.4871794871794,1.8661905487893627E-27,1.8133737808772292E-27,3.072187944741948E-28,1.3262992881216144E-28,-8.330203686974892E-27,-8.405066519734512E-27
1076.9230769230767,1.4803818584073222E-27,1.4723374988974954E-27,-4.352345724238679E-29,-1.2720901478959858E-28,-5.961636178871113E-27,-6.027249907727909E-27
1174.3589743589744,1.6353726789500973E-27,1.609474212344912E-27,-2.251391411478389E-28,-2.8268038635963977E-28,-3.44333302704126E-27,-3.4595738354549685E-27
1271.7948717948718,2.0415383934467613E-27,2.0049950527278418E-27,-1.0363237726339394E-28,-1.2558989801436406E-28,-1.1829374094998935E-27,-1.2028069020693092E-27
1369.230769230769,2.2930206900296017E-27,2.2121318092714275E-27,2.7012378920352647E-28,6.92342998639256E-29,3.3641366837768455E-28,2.9901305492683177E-28
