% Model:              2D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 5 2025, 21:49
% Dimension:          1
% Nodes:              80
% Expressions:        3
% Description:        Table graph
% r_air (um),F_x (N),F_y (N),F_z (N)
0.19999999999999998,2.477729251007745E-27,9.282494440062574E-29,-4.769083773982873E-27
0.2734177215189873,2.153265957044033E-27,5.669736038499677E-30,-4.195429432290069E-27
0.3468354430379747,1.8893906412669436E-27,-2.4827626064986864E-29,-3.9150039832586936E-27
0.42025316455696204,1.8023259626228946E-27,-3.322346411711828E-29,-3.957460348525141E-27
0.4936708860759494,1.8666479343554016E-27,-3.4951483691005044E-29,-4.193821621281766E-27
0.5670886075949367,1.9967217078490536E-27,-1.987400765679959E-29,-4.3904622623016294E-27
0.640506329113924,2.034998144697295E-27,-1.593738280305132E-29,-4.354114456163263E-27
0.7139240506329114,1.9579520366731193E-27,-3.08659903450295E-29,-4.167564803033147E-27
0.7873417721518987,1.897814217884751E-27,-2.036886785333936E-29,-4.053848160632657E-27
0.860759493670886,1.886439315791648E-27,-2.513553254166647E-29,-4.118713294001134E-27
0.9341772151898735,1.9405916886977788E-27,-2.2672371716195725E-29,-4.263793974115258E-27
1.0075949367088608,1.979978345658405E-27,-3.491079261885828E-29,-4.3399813375078044E-27
1.081012658227848,1.9889349377710194E-27,-1.2882529945675116E-29,-4.2337880758042445E-27
1.1544303797468354,1.9254370072827396E-27,-3.007279360847535E-29,-4.1335039281608E-27
1.2278481012658229,1.8996671777381634E-27,-2.706570416144191E-29,-4.1134465338072966E-27
1.3012658227848102,1.9257777870126298E-27,-1.7946223208548728E-29,-4.190991505638927E-27
1.3746835443037975,1.9603824267117522E-27,-2.6479000059441086E-29,-4.279008631100444E-27
1.4481012658227848,1.9797141819019825E-27,-2.204238024128114E-29,-4.26986699042234E-27
1.521518987341772,1.947074235333073E-27,-2.923006141715128E-29,-4.188227912540992E-27
1.5949367088607596,1.9181758194620465E-27,-2.429941214704059E-29,-4.132355871991855E-27
1.6683544303797468,1.9118667159678275E-27,-2.784805582629963E-29,-4.1672695889232556E-27
1.741772151898734,1.9370536452622936E-27,-3.107353034074283E-29,-4.240607730695782E-27
1.8151898734177214,1.9670958610929944E-27,-2.595345527399336E-29,-4.2752567543146924E-27
1.8886075949367087,1.9636784210186917E-27,-2.2013689266693553E-29,-4.227637327002647E-27
1.962025316455696,1.9322337317641703E-27,-2.5906510028841774E-29,-4.161004060322103E-27
2.0354430379746837,1.9147372675762684E-27,-2.8082329763705476E-29,-4.1456710282989425E-27
2.108860759493671,1.925578395492198E-27,-2.981246218221668E-29,-4.214126152568019E-27
2.182278481012658,1.9540674361990855E-27,-2.7062402861591465E-29,-4.25835824088482E-27
2.255696202531646,1.96206684556743E-27,-2.7103974146726124E-29,-4.2519427911841365E-27
2.329113924050633,1.949890263692914E-27,-2.004955421670077E-29,-4.182495655818015E-27
2.4025316455696206,1.9180780939661856E-27,-3.2239651476563677E-29,-4.1640760188969185E-27
2.4759493670886075,1.923168175542606E-27,-2.5908779450291184E-29,-4.184828925768211E-27
2.549367088607595,1.937325021385243E-27,-3.310083882592763E-29,-4.239434274194789E-27
