% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:29
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
800,5.711193813339559E-24,-1.5860352300938082E-23,1.3805117267945076E-23,5.58179881570643E-24,1.055958607515772E-25,-2.1542305244530598E-23
804.9999999999999,6.926255417032299E-24,-1.625365026854518E-23,1.4433949126528655E-23,6.30987759480704E-24,1.8403502063004489E-25,-2.1859686893702907E-23
810,8.244161059040415E-24,-1.648597639759827E-23,1.485733639717316E-23,7.24899436220369E-24,2.4982299670768685E-25,-2.2217353547356755E-23
814.9999999999999,9.65627492297738E-24,-1.6574354172290317E-23,1.5105665999039578E-23,8.338293845464834E-24,3.0868038879458663E-25,-2.2608154672493375E-23
820,1.1163009774085228E-23,-1.6523164763831897E-23,1.519450367300063E-23,9.551668671032694E-24,3.637660780478378E-25,-2.302803442569257E-23
825,1.2768843486917103E-23,-1.6325533176624923E-23,1.5125374760919752E-23,1.0879245610906334E-23,4.171095631954277E-25,-2.3474863572147107E-23
830,1.4478272427157342E-23,-1.5970768803959268E-23,1.4894341829433056E-23,1.231645434789759E-23,4.702487731405944E-25,-2.3947318514143963E-23
835,1.6296182821525078E-23,-1.5440730785256575E-23,1.4488790798015097E-23,1.386240865444696E-23,5.2449579013442305E-25,-2.4444870044460326E-23
839.9999999999999,1.822725697297319E-23,-1.4712589940995752E-23,1.389050933676799E-23,1.5517832592191818E-23,5.80690568882027E-25,-2.4967717596496527E-23
845,2.0235937681634078E-23,-1.377516658151844E-23,1.3090375643139344E-23,1.724796696516593E-23,6.368889903985811E-25,-2.5507668868416574E-23
849.9999999999999,2.2360078770087644E-23,-1.2583678479808288E-23,1.2049658449409273E-23,1.9085131257295574E-23,6.963443136023863E-25,-2.607338654408401E-23
855,2.4597812298553912E-23,-1.1097293203906848E-23,1.0731817248558878E-23,2.102601059342693E-23,7.596940196465508E-25,-2.6666111414717606E-23
859.9999999999999,2.694241353582681E-23,-9.267175639509699E-24,9.092702972595205E-24,2.306296024011756E-23,8.276210681479761E-25,-2.728735270564468E-23
865,2.9336568866449775E-23,-7.072028927741494E-24,7.112764373815683E-24,2.5142500876501334E-23,8.980279506208385E-25,-2.792747051082373E-23
869.9999999999999,3.1799905023258074E-23,-4.422069558240172E-24,4.710546616035085E-24,2.7280601574705604E-23,9.741275696679648E-25,-2.859851875915266E-23
875,3.4338959234398575E-23,-1.189783096479104E-24,1.7699116347671677E-24,2.9480912055224837E-23,1.0602288505048866E-24,-2.9315506069420297E-23
879.9999999999999,3.6855007300741444E-23,2.675591700277643E-24,-1.7558363735735934E-24,3.1651320152894634E-23,1.1540814254810556E-24,-3.006978302024446E-23
885,3.922524441509318E-23,7.201086298090599E-24,-5.891212631048116E-24,3.367790268027136E-23,1.253305875743612E-24,-3.084963828688771E-23
890,4.138121600209295E-23,1.2537681367537348E-23,-1.077335657999013E-23,3.549431699930544E-23,1.3619811658416902E-24,-3.167120472608976E-23
894.9999999999999,4.3158640887033175E-23,1.8765483467727145E-23,-1.6472578072626876E-23,3.694923264569758E-23,1.4798257710827587E-24,-3.2536986926269624E-23
900,4.4351303772108557E-23,2.596718202460348E-23,-2.3062647289490934E-23,3.784967559835402E-23,1.6087765996762629E-24,-3.345124400021882E-23
904.9999999999999,4.468802534326828E-23,3.420519574385785E-23,-3.059798654010292E-23,3.7941676675583326E-23,1.752378218328088E-24,-3.4418872308527127E-23
910,4.383479394947961E-23,4.346929383181065E-23,-3.9063818563469583E-23,3.6915299850631627E-23,1.9117056923721437E-24,-3.544514787515071E-23
914.9999999999999,4.138963508614579E-23,5.365124239373216E-23,-4.8353257085339326E-23,3.4399137476656046E-23,2.0890619327554815E-24,-3.6535735839663785E-23
920,3.6913761949902813E-23,6.449737044143416E-23,-5.822374156043353E-23,2.9989918406892335E-23,2.287057487270439E-24,-3.769707482017174E-23
924.9999999999999,3.0099289864372884E-23,7.541126613213931E-23,-6.811955386388526E-23,2.3411797461819727E-23,2.5008780822901228E-24,-3.8911268467156033E-23
