% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:29
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
800,-2.233056423057849E-31,-5.584951431990745E-32,8.158356074043798E-32,-2.0219709913738213E-31,-2.067751767258957E-32,6.062732762241702E-32
804.9999999999999,-2.302399880944054E-31,-7.179509254783105E-32,9.395980850738706E-32,-2.1302095573385945E-31,-2.4574101861771004E-32,5.991051685650322E-32
810,-2.3874125265683816E-31,-8.688298559681198E-32,1.0711192282571147E-31,-2.24776500780581E-31,-2.8174574060596394E-32,5.910492467659938E-32
814.9999999999999,-2.4827533256908703E-31,-1.02055855744934E-31,1.2130525450409402E-31,-2.3707496532671606E-31,-3.1525443013940273E-32,5.824680601161849E-32
820,-2.5849927660502245E-31,-1.1780071399742417E-31,1.366877681572031E-31,-2.496991944926058E-31,-3.4666678408470867E-32,5.736377785019469E-32
825,-2.691669261643473E-31,-1.3441485446494429E-31,1.5337633552465113E-31,-2.624916680418251E-31,-3.7628666182188623E-32,5.647771303802708E-32
830,-2.8010811446197103E-31,-1.5212472653621325E-31,1.7149424820975908E-31,-2.7534924423797407E-31,-4.0441670689470554E-32,5.559876581298386E-32
835,-2.9117240177573845E-31,-1.7112703768311079E-31,1.9118010509752458E-31,-2.8816705680657474E-31,-4.313015794950727E-32,5.473351164215384E-32
839.9999999999999,-3.022275101234246E-31,-1.916051597531204E-31,2.125839058578068E-31,-3.0084335038062145E-31,-4.5714948572838005E-32,5.388781500284169E-32
845,-3.1306133945257704E-31,-2.1342040593455537E-31,2.355329284734087E-31,-3.1316946907666123E-31,-4.818849552013805E-32,5.308543175681825E-32
849.9999999999999,-3.236137892763521E-31,-2.37062106773764E-31,2.605225430327374E-31,-3.2511744300665714E-31,-5.059480784660828E-32,5.230819841506321E-32
855,-3.337050286400416E-31,-2.627415538182097E-31,2.877663196441769E-31,-3.365117465924847E-31,-5.294672603890229E-32,5.155656530724489E-32
859.9999999999999,-3.4311065959153305E-31,-2.906876057781581E-31,3.1750150819051534E-31,-3.4712573573443036E-31,-5.525538825105501E-32,5.083004369016193E-32
865,-3.515264255329026E-31,-3.207288630791794E-31,3.4954290525603534E-31,-3.5663637665503453E-31,-5.751006850301636E-32,5.014779769212606E-32
869.9999999999999,-3.58665078429977E-31,-3.534821971650114E-31,3.8454622780769255E-31,-3.6475382464597046E-31,-5.97417367191916E-32,4.948828484403742E-32
875,-3.6403608265791336E-31,-3.8967328728765417E-31,4.232899097832191E-31,-3.7096690990037335E-31,-6.197606333374254E-32,4.88286356093502E-32
