% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 11 2025, 15:53
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
800,-2.2329787831266605E-31,-5.581539850075025E-32,8.161882461427549E-32,-2.0219119337745884E-31,-2.0645962303008666E-32,6.057802636510473E-32
804.9999999999999,-2.302368130040868E-31,-7.175995622136525E-32,9.399470424399665E-32,-2.130064126736378E-31,-2.4535919056578987E-32,5.986280807814279E-32
810,-2.3874237913985537E-31,-8.684693468750655E-32,1.0714506186446804E-31,-2.2475471212608848E-31,-2.813079064847923E-32,5.905967648010573E-32
814.9999999999999,-2.482807105398133E-31,-1.0201909870375351E-31,1.2133580524276417E-31,-2.3704695077168834E-31,-3.147688726855007E-32,5.820449689477471E-32
820,-2.5850895210339478E-31,-1.17763528261175E-31,1.3671514339373284E-31,-2.4966572680619985E-31,-3.461401759291956E-32,5.73246915472613E-32
825,-2.6918097430879063E-31,-1.3437756997151682E-31,1.5340006637451265E-31,-2.6245338583176204E-31,-3.757247045595533E-32,5.644202129082052E-32
830,-2.8012663459937493E-31,-1.5208770644723998E-31,1.7151391481769976E-31,-2.753066890302331E-31,-4.03824110880466E-32,5.556658307015287E-32
835,-2.9119549912280124E-31,-1.7109068043013708E-31,1.9119530778268691E-31,-2.8812072029600948E-31,-4.3068239490926393E-32,5.470491611682178E-32
839.9999999999999,-3.022552830737886E-31,-1.9156990180813879E-31,2.1259425872176545E-31,-3.007937027646336E-31,-4.565073132883505E-32,5.386285485081946E-32
845,-3.130938114854012E-31,-2.1338671465218083E-31,2.3553811440493477E-31,-3.131170229462797E-31,-4.812232748185706E-32,5.306410049417488E-32
849.9999999999999,-3.236510225554818E-31,-2.3703049782509692E-31,2.605221976511409E-31,-3.2506267406929733E-31,-5.052697918217397E-32,5.229050067553328E-32
855,-3.3374705678285577E-31,-2.6271259245009547E-31,2.877600796872851E-31,-3.3645515929831578E-31,-5.287749858515697E-32,5.154249185070889E-32
859.9999999999999,-3.431574767330211E-31,-2.9066191156305447E-31,3.174890114396209E-31,-3.470678740457643E-31,-5.518499838397763E-32,5.08195781149271E-32
865,-3.5157790661984434E-31,-3.2070707144337958E-31,3.4952387251303266E-31,-3.565778558628839E-31,-5.743874753357775E-32,5.014089339711283E-32
869.9999999999999,-3.5872109102957823E-31,-3.5346502858926417E-31,3.845202503802308E-31,-3.646952618174166E-31,-5.966973263569963E-32,4.948493068628279E-32
875,-3.640964926117552E-31,-3.896616046868091E-31,4.2325661229621045E-31,-3.70909080658928E-31,-6.190351332478269E-32,4.882881467267378E-32
879.9999999999999,-3.6711154170111476E-31,-4.291242775534121E-31,4.655553254551159E-31,-3.745818922911369E-31,-6.412675903308555E-32,4.8191049281219607E-32
885,-3.671475609411188E-31,-4.71513170093687E-31,5.11058678057905E-31,-3.750468046201265E-31,-6.632848245796847E-32,4.758983751177415E-32
890,-3.6328077816180143E-31,-5.174139574572603E-31,5.604034906556055E-31,-3.7132235986713396E-31,-6.853238704691116E-32,4.7002273247225317E-32
894.9999999999999,-3.543768461389807E-31,-5.666229390856221E-31,6.133938720424105E-31,-3.621753318923017E-31,-7.072345560846592E-32,4.642058709761941E-32
900,-3.391732147493626E-31,-6.188482680849385E-31,6.6972781440880535E-31,-3.4624608901850984E-31,-7.291135379100615E-32,4.584402775686285E-32
904.9999999999999,-3.161937483597498E-31,-6.735030366214616E-31,7.287872449788791E-31,-3.219464746234254E-31,-7.511162353555297E-32,4.527285056276818E-32
910,-2.838741668577693E-31,-7.294234121340667E-31,7.893418688886805E-31,-2.87576335873643E-31,-7.732892131355845E-32,4.4705100887726346E-32
914.9999999999999,-2.406604499845527E-31,-7.8474790306001855E-31,8.494110542635254E-31,-2.4143480247506084E-31,-7.95665882120639E-32,4.4137905219238165E-32
920,-1.8532052066272828E-31,-8.368043658743721E-31,9.061369766320912E-31,-1.8215309950388689E-31,-8.182797315278125E-32,4.356821878319652E-32
924.9999999999999,-1.183841366433864E-31,-8.817536599599674E-31,9.553771923010428E-31,-1.1024124323945693E-31,-8.410523588339704E-32,4.301498718437E-32
930,-3.977933848236309E-32,-9.16156128641651E-31,9.934249716261535E-31,-2.556125999536069E-32,-8.641329341829512E-32,4.2452111202180063E-32
934.9999999999999,4.945862194436097E-32,-9.357939670718853E-31,1.0157163497595526E-30,7.084984488566672E-32,-8.876443134356764E-32,4.1851788822941045E-32
940,1.4407283424242245E-31,-9.368065306200954E-31,1.0179976637990846E-30,1.7339485232148925E-31,-9.115007844011308E-32,4.1231162770012087E-32
945,2.3714498905485213E-31,-9.179376879013789E-31,9.987869241799937E-31,2.7463354111568524E-31,-9.356132656237208E-32,4.060760691879735E-32
949.9999999999999,3.2376471261752755E-31,-8.795707843397434E-31,9.584025669451795E-31,3.6926543750664704E-31,-9.600752593902027E-32,3.995245880472253E-32
954.9999999999999,3.983236177999655E-31,-8.245573189767492E-31,8.998145402989172E-31,4.511852343030834E-31,-9.848603021017816E-32,3.9260166421882455E-32
960,4.569164887105001E-31,-7.576588659988744E-31,8.280885691249814E-31,5.16087545768814E-31,-1.0099500352611276E-31,3.8526577925114173E-32
965,4.978098749982885E-31,-6.843982561699912E-31,7.491555456066397E-31,5.619973107273195E-31,-1.0353127099262824E-31,3.774831017166728E-32
969.9999999999999,5.213874171813158E-31,-6.1003543674941415E-31,6.687037274437265E-31,5.892325746950979E-31,-1.0609174424806949E-31,3.692301604782585E-32
974.9999999999999,5.295450336957984E-31,-5.3881561681439825E-31,5.913527342299659E-31,5.997659824930019E-31,-1.0867284689184298E-31,3.604878749859535E-32
980,5.250766045002071E-31,-4.736642875673544E-31,5.2031176985024125E-31,5.965662958965822E-31,-1.1127295585064097E-31,3.512456364484558E-32
985,5.10953824844166E-31,-4.1621978766649376E-31,4.574008211789354E-31,5.828178683329482E-31,-1.1389269458806525E-31,3.414849614877916E-32
989.9999999999999,4.899298213036536E-31,-3.6709616609962432E-31,4.033289859542362E-31,5.614862995637871E-31,-1.1653735562575834E-31,3.3116894263129003E-32
994.9999999999999,4.649607078613355E-31,-3.269047046778704E-31,3.588075076441254E-31,5.357388180649596E-31,-1.191903333442588E-31,3.205795653639657E-32
1000,4.373810005616727E-31,-2.9435074517349092E-31,3.2244604491222854E-31,5.070546441989773E-31,-1.2185656652083559E-31,3.094324006174086E-32
1005,4.079071041180062E-31,-2.684841858137686E-31,2.932063876879428E-31,4.762373243671528E-31,-1.2453768989766878E-31,2.9742425142348296E-32
1010,3.7825471362700917E-31,-2.4909706454516575E-31,2.70897766254535E-31,4.4512123545767355E-31,-1.2722674155569483E-31,2.8481786639535237E-32
1014.9999999999999,3.4984659828139564E-31,-2.3553120080075735E-31,2.548477681842138E-31,4.152314006570362E-31,-1.2991885604380631E-31,2.7189044369727305E-32
1019.9999999999999,3.2255780200861454E-31,-2.2679075346525776E-31,2.439570764113971E-31,3.864590399898489E-31,-1.3261598896588253E-31,2.5833659659994454E-32
1025,2.9676813936361762E-31,-2.2226087172715016E-31,2.3756340690840763E-31,3.59215491599611E-31,-1.3531470584521479E-31,2.441424281239782E-32
1030,2.7274867855597665E-31,-2.2138239633153014E-31,2.3506440910034382E-31,3.3379379536580727E-31,-1.3801328142297197E-31,2.2931552029492627E-32
1035,2.5069570194651304E-31,-2.2366727978512686E-31,2.359342417586974E-31,3.1040157200309406E-31,-1.4070856751889896E-31,2.13811789927816E-32
1039.9999999999998,2.307492069087952E-31,-2.2866604591884467E-31,2.3968932197521314E-31,2.8918704008510475E-31,-1.4339871053405412E-31,1.9763739865127853E-32
1045,2.1301217376088167E-31,-2.3598451638242045E-31,2.459073270677103E-31,2.702552123062669E-31,-1.4608029514344184E-31,1.807816974570043E-32
1050,1.975569282440342E-31,-2.4525381506929073E-31,2.541945131657958E-31,2.5367779163379414E-31,-1.4875118580943938E-31,1.6323426670062905E-32
1055,1.8443899506136995E-31,-2.561364443054207E-31,2.6419316433722247E-31,2.3950699935905706E-31,-1.5140884953412427E-31,1.4498207611610442E-32
1060,1.7368877582528677E-31,-2.6830757498660667E-31,2.7556185083261415E-31,2.277686252070028E-31,-1.5405007237953315E-31,1.2599711168594266E-32
1064.9999999999998,1.6532621389202975E-31,-2.8145941876114263E-31,2.879810738926468E-31,2.184783498495739E-31,-1.5666931081168126E-31,1.0626469629412948E-32
1070,1.593348997858797E-31,-2.9528956306363104E-31,3.011369010778449E-31,2.1161842048143794E-31,-1.5925922168652095E-31,8.57773742185528E-33
1075,1.556887048520029E-31,-3.095122293640827E-31,3.147300576549866E-31,2.071603542896307E-31,-1.618132483972804E-31,6.45888470251623E-33
1080,1.5433311772554524E-31,-3.238484272301828E-31,3.2846778098181485E-31,2.050428087267392E-31,-1.6433050885940687E-31,4.274831521559909E-33
1084.9999999999998,1.5511604483279785E-31,-3.3764906285693274E-31,3.416977840349462E-31,2.0512352564015113E-31,-1.6682036128638158E-31,2.062056866463253E-33
1090,1.5791510567818402E-31,-3.5107110398506744E-31,3.5456687330457127E-31,2.0725039894386796E-31,-1.692727374173486E-31,-2.1854625729227765E-34
1095,1.6277974871674026E-31,-3.642178648102204E-31,3.6717331288626157E-31,2.114460574521057E-31,-1.7167530114073148E-31,-2.6034245991284293E-33
1100,1.694751023936782E-31,-3.764885025861114E-31,3.7892007582707796E-31,2.174917444566837E-31,-1.7403456386360107E-31,-5.052883854800419E-33
