% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 11 2025, 15:52
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
800,-5.313623087638751E-26,-4.8587801525187774E-26,-3.107466959546213E-24
804.9999999999999,-6.668770638240736E-26,-5.975110275554405E-26,-3.480965869454582E-24
810,-7.736187284393292E-26,-6.863812893594785E-26,-3.811376715127726E-24
814.9999999999999,-8.649428526033463E-26,-7.620025920755979E-26,-4.1156337750430456E-24
820,-9.47380885747727E-26,-8.288083111888521E-26,-4.40357400390605E-24
825,-1.0244545760010906E-25,-8.886859210227585E-26,-4.681345280429486E-24
830,-1.0984283504254773E-25,-9.431637814269797E-26,-4.952453281650864E-24
835,-1.1708110802224577E-25,-9.931260255608126E-26,-5.21901208969858E-24
839.9999999999999,-1.2427214879144373E-25,-1.0390956160612321E-25,-5.482418033213537E-24
845,-1.3140903536555163E-25,-1.080643602361731E-25,-5.7406575184172376E-24
849.9999999999999,-1.3865473267849317E-25,-1.1189670696657642E-25,-5.996743436111173E-24
855,-1.460622412138511E-25,-1.154312065104454E-25,-6.2498708496611474E-24
859.9999999999999,-1.5367419903379054E-25,-1.1869277842078978E-25,-6.498378613387231E-24
865,-1.614372163932385E-25,-1.2164143849914387E-25,-6.737960313970824E-24
869.9999999999999,-1.6946795043964564E-25,-1.2438458195464483E-25,-6.967163716011068E-24
875,-1.7785793287057467E-25,-1.2703388910365527E-25,-7.181114708688094E-24
879.9999999999999,-1.8652488086828322E-25,-1.2959029188617697E-25,-7.370796356342978E-24
885,-1.953742722632325E-25,-1.3207378726960037E-25,-7.526660412041081E-24
890,-2.0445069303327373E-25,-1.3467947107413466E-25,-7.636506286551393E-24
894.9999999999999,-2.1377213268641925E-25,-1.3766750697959313E-25,-7.684105715932278E-24
900,-2.232065477744448E-25,-1.412382263048564E-25,-7.648813337022826E-24
904.9999999999999,-2.3252282237803908E-25,-1.4564716741791837E-25,-7.50472942260008E-24
910,-2.415043755636354E-25,-1.5128999954808253E-25,-7.22358684436552E-24
914.9999999999999,-2.498561592856383E-25,-1.586534800897499E-25,-6.774439855797628E-24
920,-2.5722240863556493E-25,-1.682931371964742E-25,-6.12812617198278E-24
924.9999999999999,-2.632460464312389E-25,-1.804524017390835E-25,-5.281372640033338E-24
930,-2.675655455134372E-25,-1.9581446918860542E-25,-4.217175719179107E-24
934.9999999999999,-2.698313688038661E-25,-2.1511999745487445E-25,-2.9313433612439772E-24
940,-2.7002466409849913E-25,-2.3797199351411954E-25,-1.4934466564524309E-24
945,-2.684641332225021E-25,-2.632660475950426E-25,-9.711948709350102E-27
949.9999999999999,-2.6557658250175706E-25,-2.905840569673863E-25,1.4462040341056694E-24
954.9999999999999,-2.620904233360304E-25,-3.1878294498034564E-25,2.776059442164152E-24
960,-2.5883506626795693E-25,-3.4669021804589565E-25,3.900573175859836E-24
965,-2.5657401768049356E-25,-3.7332589123976936E-25,4.7707099101566484E-24
969.9999999999999,-2.5589427196491928E-25,-3.9803971225112232E-25,5.371119781886494E-24
974.9999999999999,-2.571601373823848E-25,-4.205301895575527E-25,5.713521909371631E-24
980,-2.605179695385608E-25,-4.408184106032609E-25,5.8291373894641404E-24
985,-2.6594802087335708E-25,-4.591456532450964E-25,5.7569036101575876E-24
989.9999999999999,-2.7332065883444765E-25,-4.758902074348913E-25,5.536460446047608E-24
994.9999999999999,-2.821482358735621E-25,-4.909770776191069E-25,5.211256154021617E-24
1000,-2.924964710997612E-25,-5.05331541266739E-25,4.807383295664288E-24
1005,-3.0458147969695918E-25,-5.197870153592573E-25,4.337877485992544E-24
1010,-3.178677609162344E-25,-5.343406760978124E-25,3.8316435439650466E-24
1014.9999999999999,-3.317110193250636E-25,-5.489875742132649E-25,3.317308704998337E-24
1019.9999999999999,-3.46306291493794E-25,-5.645758084469385E-25,2.7976036741488793E-24
1025,-3.614022023976345E-25,-5.815036427156965E-25,2.284924891461412E-24
1030,-3.766517680812195E-25,-6.001111776455171E-25,1.792663622588157E-24
1035,-3.915108178632326E-25,-6.204950551977474E-25,1.3369187738642403E-24
1039.9999999999998,-4.0507720872775343E-25,-6.4211506960148595E-25,9.398094224795245E-25
1045,-4.157509777007371E-25,-6.627310213092539E-25,6.329051222139499E-25
1050,-4.207082264107381E-25,-6.761426546284694E-25,4.603405198083002E-25
1055,-4.152939683282574E-25,-6.676485855814079E-25,4.716616663461996E-25
1060,-3.937369580138889E-25,-6.091943026602562E-25,6.766936509582698E-25
1064.9999999999998,-3.551385753141337E-25,-4.681753309295757E-25,9.26958555988473E-25
1070,-3.1440322034071463E-25,-2.5379960478764218E-25,8.579722232883003E-25
1075,-2.955947651294301E-25,-4.6009718450887305E-26,2.242344451673184E-25
1080,-3.0437080444404075E-25,8.654291832860944E-26,-7.7138322015373685E-25
1084.9999999999998,-3.276898019912578E-25,1.453904829411801E-25,-1.7716234808510627E-24
1090,-3.5407399058196656E-25,1.6411843447748646E-25,-2.6490800473416625E-24
1095,-3.7856880245469515E-25,1.6530371673789666E-25,-3.393341668540237E-24
1100,-3.98971285643304E-25,1.6075838590373836E-25,-3.999042908238632E-24
