% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:28
% Dimension:          1
% Nodes:              61
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
800,4.519590828651682E-25,1.4224070706772685E-25,-3.1076539903216375E-24
804.9999999999999,4.956493863373895E-25,1.3416361442198902E-25,-3.48134510942878E-24
810,5.400939616791689E-25,1.2862654247080695E-25,-3.811921938276402E-24
814.9999999999999,5.8663067069881275E-25,1.2560996985384403E-25,-4.116321449243877E-24
820,6.35964229628664E-25,1.2480797930141824E-25,-4.404383699589085E-24
825,6.88523124523953E-25,1.2596485298323415E-25,-4.682259032769034E-24
830,7.446451311210802E-25,1.288581702760909E-25,-4.9534555309236E-24
835,8.046418764250935E-25,1.333449711308194E-25,-5.2200890402615E-24
839.9999999999999,8.688149162968843E-25,1.3934964282300133E-25,-5.4835572379042034E-24
845,9.364486606784655E-25,1.4665275372536126E-25,-5.741846902523916E-24
849.9999999999999,1.0088463236899782E-24,1.5539132714823406E-25,-5.997972853605287E-24
855,1.0863910101998658E-24,1.6558684743281015E-25,-6.2511308780412945E-24
859.9999999999999,1.1694909915425173E-24,1.772744974903687E-25,-6.499660366031976E-24
865,1.257299824918485E-24,1.9021463798765226E-25,-6.739255030014358E-24
869.9999999999999,1.351360033481926E-24,2.0468092250831197E-25,-6.968464167636685E-24
875,1.453406103174594E-24,2.2101567264885694E-25,-7.182412398012285E-24
879.9999999999999,1.5624162904202478E-24,2.3892987621055964E-25,-7.37208317113066E-24
885,1.67689778302073E-24,2.579789043547861E-25,-7.527928371296396E-24
890,1.79795907223201E-24,2.7832711626170097E-25,-7.637747308598668E-24
894.9999999999999,1.924269661572782E-24,2.995858428536679E-25,-7.685310835817912E-24
900,2.0542503127815573E-24,3.2127330200568516E-25,-7.649973950986638E-24
904.9999999999999,2.1854931366471164E-24,3.426408591676721E-25,-7.505837655210796E-24
910,2.3140197755463713E-24,3.625902301443565E-25,-7.224635385437866E-24
914.9999999999999,2.434075168414474E-24,3.7958455242312604E-25,-6.77542244604988E-24
920,2.5380373800110307E-24,3.9166289098583356E-25,-6.129038389998753E-24
924.9999999999999,2.616113890402615E-24,3.9647247232707694E-25,-5.2822138635665706E-24
930,2.659743793748966E-24,3.919718770953212E-25,-4.217948120448254E-24
934.9999999999999,2.6590999269042117E-24,3.7588247057008844E-25,-2.9320530076964067E-24
940,2.607335035013168E-24,3.470105440887569E-25,-1.494105957538382E-24
945,2.5053000849092568E-24,3.0625166894779763E-25,-1.0338160597646875E-26
949.9999999999999,2.357406543683451E-24,2.551715927113699E-25,1.4455921971435639E-24
954.9999999999999,2.1744946551932766E-24,1.9698680005690842E-25,2.7754436833572208E-24
960,1.9712505762819896E-24,1.357009487308714E-25,3.8999368004267475E-24
965,1.762913431838275E-24,7.527568479781819E-26,4.7700396025128196E-24
969.9999999999999,1.562705763408621E-24,1.9004018862764014E-26,5.370409028196182E-24
974.9999999999999,1.3802674274279456E-24,-3.0796647638709466E-26,5.712768978285376E-24
980,1.2213077719501457E-24,-7.285282551215376E-26,5.8283429673579824E-24
985,1.0881222449007834E-24,-1.0671891729108235E-25,5.756073895135045E-24
989.9999999999999,9.80538306626044E-25,-1.3251950298702287E-25,5.535606411528406E-24
994.9999999999999,8.979507753652531E-25,-1.5047098711463463E-25,5.2103835964077796E-24
1000,8.363496423530696E-25,-1.6142100734360788E-25,4.806496201618449E-24
1005,7.9290173059948245E-25,-1.6558646155450967E-25,4.3369883817222315E-24
1010,7.657567930809573E-25,-1.633020139059147E-25,3.830763829693559E-24
1014.9999999999999,7.521567998632191E-25,-1.553286875865435E-25,3.316447117140389E-24
1019.9999999999999,7.496355707103962E-25,-1.4155920943367933E-25,2.7967618868006013E-24
1025,7.561991523396034E-25,-1.2199285763518083E-25,2.284125911214594E-24
1030,7.699643423416518E-25,-9.661266781878876E-26,1.7919199581322045E-24
1035,7.8908701318108E-25,-6.55355710941457E-26,1.3362469892884295E-24
1039.9999999999998,8.114960461009012E-25,-2.9496742765109625E-26,9.392261595452883E-25
1045,8.34608850040978E-25,9.15198931793765E-27,6.324352591354534E-25
1050,8.547085152932506E-25,4.409264623202545E-26,4.600175553537464E-25
1055,8.663530930545062E-25,6.053232319897975E-26,4.714833694277013E-25
1060,8.630607136477859E-25,3.029149320679888E-26,6.766544595592139E-25
1064.9999999999998,8.432721645559345E-25,-7.93663945682674E-26,9.269194826998795E-25
1070,8.212607889739147E-25,-2.5947534264962783E-25,8.577783915404865E-25
1075,8.205361644536085E-25,-4.303134535787175E-25,2.2374862557816314E-25
1080,8.462731041442506E-25,-5.234695287802875E-25,-7.720947581400938E-25
1084.9999999999998,8.846181757252756E-25,-5.420891643805025E-25,-1.772463428113223E-24
1090,9.242343200233092E-25,-5.187968646867862E-25,-2.649985011080266E-24
1095,9.6015582844729E-25,-4.751532638870414E-25,-3.3942524811286374E-24
1100,9.895282395741707E-25,-4.247434533265735E-25,-3.999926376776047E-24
