% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
100,8.208848877265841E-32,1.3291903645068856E-31,1.428771368041021E-31,-7.94350283653821E-32,2.887696275131263E-32,-6.712627408746835E-32
100.5,8.573512475874772E-32,1.3507381905710087E-31,1.4532425874680868E-31,-8.307179403217818E-32,2.825072256937792E-32,-6.800399278176072E-32
100.99999999999999,8.95366551108007E-32,1.3716054974302323E-31,1.4771138061963181E-31,-8.686721891540343E-32,2.760479884910895E-32,-6.886190149188272E-32
101.49999999999999,9.349560041284268E-32,1.3916625492100734E-31,1.5002564827471396E-31,-9.082419713036495E-32,2.6940082294859837E-32,-6.96993402631426E-32
101.99999999999999,9.761361411796456E-32,1.41076813149434E-31,1.5225304101651993E-31,-9.494477175908431E-32,2.625748290260749E-32,-7.051584760904256E-32
102.5,1.0189130876650152E-31,1.4287694712866547E-31,1.5437835880893811E-31,-9.9229971385046E-32,2.555796326960584E-32,-7.131093603777579E-32
103,1.0632798395021482E-31,1.4455008050770262E-31,1.5638507443481693E-31,-1.0367953634481817E-31,2.484239312747683E-32,-7.208403581696218E-32
103.5,1.1092154254607127E-31,1.4607862057449835E-31,1.5825562190198286E-31,-1.0829182087094836E-31,2.4111600092464997E-32,-7.283516141070698E-32
103.99999999999999,1.1566796702728844E-31,1.4744366495083337E-31,1.5997107035215666E-31,-1.1306328634422777E-31,2.3366675762574114E-32,-7.356361306873713E-32
104.49999999999999,1.2056121836921502E-31,1.4862538055249136E-31,1.6151153096976224E-31,-1.1798837790714236E-31,2.2608715647431898E-32,-7.42692073668637E-32
104.99999999999999,1.255929128300032E-31,1.4960296890618452E-31,1.628561092521953E-31,-1.230592099900271E-31,2.1838162810427125E-32,-7.49519369351812E-32
105.5,1.307518402212441E-31,1.5035493394457494E-31,1.6398314869158876E-31,-1.282650700209474E-31,2.105639705697823E-32,-7.561150939552539E-32
106,1.3602378598934994E-31,1.5085930489243316E-31,1.6487047170589202E-31,-1.3359224514286407E-31,2.0264104671154763E-32,-7.624785063257871E-32
106.5,1.4139114094029642E-31,1.5109396048751557E-31,1.6549569269708508E-31,-1.3902360771695165E-31,1.946226436700065E-32,-7.68609294852011E-32
106.99999999999999,1.4683251263122235E-31,1.510372025561268E-31,1.658367900117856E-31,-1.4453822651112984E-31,1.865172095302928E-32,-7.745096430583261E-32
107.49999999999999,1.523223517801548E-31,1.506678803760136E-31,1.6587221563331421E-31,-1.5011098707618227E-31,1.783333638154642E-32,-7.801750896815184E-32
107.99999999999999,1.5783088992962088E-31,1.4996643816705772E-31,1.6558196346050927E-31,-1.5571250366419306E-31,1.7007950505758915E-32,-7.856064417906208E-32
108.5,1.6332410446028404E-31,1.4891559085113164E-31,1.6494825461889978E-31,-1.6130907557535184E-31,1.6176413996036514E-32,-7.908090851740918E-32
109,1.6876319137076208E-31,1.475010011134447E-31,1.639561959440092E-31,-1.6686214207955984E-31,1.5339392470906753E-32,-7.957855523926513E-32
109.5,1.7410492434507108E-31,1.457120599691997E-31,1.6259456810361143E-31,-1.7232863589728833E-31,1.4497658104330035E-32,-8.005337580447771E-32
109.99999999999999,1.7930186739893723E-31,1.4354309185660921E-31,1.6085707663485876E-31,-1.7766116832942584E-31,1.365209783296905E-32,-8.050583679536976E-32
110.49999999999999,1.8430281140013044E-31,1.4099436253640381E-31,1.5874334673901705E-31,-1.8280845655516773E-31,1.2803325245487942E-32,-8.093610435594805E-32
110.99999999999999,1.8905335911351189E-31,1.380730142003614E-31,1.5625989975330003E-31,-1.8771590202314957E-31,1.1951881277955027E-32,-8.134454496734577E-32
111.5,1.9349699746428138E-31,1.3479406832829348E-31,1.5342116336770209E-31,-1.9232664136737873E-31,1.1098509757468145E-32,-8.173140118074685E-32
112,1.9757594280622175E-31,1.3118113963489282E-31,1.502502449187471E-31,-1.9658239935242256E-31,1.0243859299403398E-32,-8.209705734806981E-32
112.5,2.012329216871514E-31,1.2726737716941154E-31,1.4677987013856355E-31,-2.0042526929624196E-31,9.388320247104803E-33,-8.244185581991424E-32
112.99999999999999,2.0441235428321143E-31,1.2309567699411174E-31,1.4305266601494914E-31,-2.0379889279503638E-31,8.532663241078858E-33,-8.276618481868694E-32
