% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 11 2025, 16:04
% Dimension:          1
% Nodes:              61
% Expressions:        2
% Description:        Table graph
% lambda0 (nm),-1*ewfd.k0^4/(12*pi*c_const*epsilon0_const)*real(py*conj(mz)-pz*conj(my)) (N),-1*ewfd.k0^4/(12*pi*c_const*epsilon0_const)*real(pz*conj(mx)-px*conj(mz)) (N)
800,1.6799650205126498E-25,-3.856657785162347E-27
804.9999999999999,1.7424411287920888E-25,-1.4270811846467207E-26
810,1.820471071941726E-25,-2.4091297965963676E-26
814.9999999999999,1.9090509294005416E-25,-3.39907261033654E-26
820,2.005660492683733E-25,-4.43037920267061E-26
825,2.1089043258757773E-25,-5.523996078059773E-26
830,2.21800965377903E-25,-6.69632975944771E-26
835,2.3324638807572E-25,-7.962974925095918E-26
839.9999999999999,2.451967237006672E-25,-9.339732518387194E-26
845,2.5738513724593216E-25,-1.0819244659144569E-25
849.9999999999999,2.7000757696197864E-25,-1.2441865527511442E-25
855,2.8301868901598176E-25,-1.423000863808969E-25
859.9999999999999,2.963478372378684E-25,-1.620975867821872E-25
865,3.0962181842637265E-25,-1.8374792086300413E-25
869.9999999999999,3.2294274512198315E-25,-2.0788517727013295E-25
875,3.3633843260287464E-25,-2.353434462202483E-25
879.9999999999999,3.4921231455878885E-25,-2.662050722182997E-25
885,3.608396690110136E-25,-3.003934295366575E-25
890,3.7084764699993684E-25,-3.3885657159126694E-25
894.9999999999999,3.7823729556312265E-25,-3.819599157859272E-25
900,3.819060829370949E-25,-4.300859990788017E-25
904.9999999999999,3.804753949254446E-25,-4.835098057511872E-25
910,3.7219133145875824E-25,-5.421612478847995E-25
914.9999999999999,3.5499353660326016E-25,-6.054654788289024E-25
920,3.2668829490397247E-25,-6.721377229339006E-25
924.9999999999999,2.857769537763823E-25,-7.388955808481864E-25
930,2.307450719135186E-25,-8.0367216303866325E-25
934.9999999999999,1.6050627682061268E-25,-8.63538435719797E-25
940,7.71454883157876E-26,-9.13057215621404E-25
945,-1.460904772875855E-26,-9.476594891338945E-25
949.9999999999999,-1.107595594161184E-25,-9.65899703704545E-25
954.9999999999999,-2.0565423271238385E-25,-9.672736408934959E-25
960,-2.9411837554701523E-25,-9.534098608758858E-25
965,-3.722573492873248E-25,-9.274670773594892E-25
969.9999999999999,-4.3792867918253075E-25,-8.934025865513163E-25
974.9999999999999,-4.905812523300466E-25,-8.551811654361362E-25
980,-5.31009672317913E-25,-8.16277305073876E-25
985,-5.607005660070621E-25,-7.793906792031634E-25
989.9999999999999,-5.814175016316054E-25,-7.464653169180088E-25
994.9999999999999,-5.945391841154644E-25,-7.189037421056057E-25
1000,-6.020115042487976E-25,-6.974394258883199E-25
1005,-6.050311501786287E-25,-6.830148860641456E-25
1010,-6.041631149673572E-25,-6.76268284308864E-25
1014.9999999999999,-5.99818776214299E-25,-6.77338490917909E-25
1019.9999999999999,-5.919541738442169E-25,-6.873563681834028E-25
1025,-5.797227696933736E-25,-7.074944222358262E-25
1030,-5.6131241906389045E-25,-7.392869904241956E-25
1035,-5.331928571547354E-25,-7.846460069132394E-25
1039.9999999999998,-4.891259490464842E-25,-8.455047161504905E-25
1045,-4.179980863910639E-25,-9.226480301465175E-25
1050,-3.0112127765099253E-25,-1.0121327849831516E-24
1055,-1.105849088645028E-25,-1.0962638953162668E-24
1060,1.8003757372891405E-25,-1.1273213536430421E-24
1064.9999999999998,5.496178015823238E-25,-1.0228280016564206E-24
1070,8.703373545069519E-25,-7.36005623204197E-25
1075,9.924145130879519E-25,-3.6334548154755294E-25
1080,9.219190332902616E-25,-5.795559962783999E-26
1084.9999999999998,7.724622743574185E-25,1.250656975210372E-25
1090,6.183635147380116E-25,2.2037844723889674E-25
1095,4.842535718117568E-25,2.6412595129960095E-25
1100,3.7806655692416173E-25,2.789077590769321E-25
