% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 11 2025, 15:53
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
800,5.70126997327268E-24,-1.5868229410654066E-23,1.3805436576360317E-23,5.594055736725873E-24,-9.916457110529318E-26,2.1545024430482622E-23
804.9999999999999,6.916620373085565E-24,-1.626283942652285E-23,1.44335423573559E-23,6.3222607298924026E-24,-1.7765400376339954E-25,2.1863559385017942E-23
810,8.234967252979283E-24,-1.6496143475159224E-23,1.4856299960541573E-23,7.261463697937531E-24,-2.4360805787265224E-25,2.222220275619638E-23
814.9999999999999,9.647558741219093E-24,-1.6585280486116657E-23,1.510406492217866E-23,8.35083715263817E-24,-3.026984630769161E-25,2.261387109753281E-23
820,1.1154762369955341E-23,-1.6534710319892413E-23,1.5192381967735983E-23,9.564288444467338E-24,-3.5806709460064003E-25,2.30345485132687E-23
825,1.2761037097622708E-23,-1.6337605711512687E-23,1.5122765577420405E-23,1.0891951200385398E-23,-4.117387261777478E-25,2.3482128352420665E-23
830,1.447087484753647E-23,-1.5983315477937567E-23,1.489126348778112E-23,1.2329262324229931E-23,-4.652525630516162E-25,2.3955302335706296E-23
835,1.6289162566950882E-23,-1.5453725963547275E-23,1.4485250232691208E-23,1.3875340704490118E-23,-5.199241086842301E-25,2.4453549550497447E-23
839.9999999999999,1.8220585787751593E-23,-1.4726027686056273E-23,1.3886504174658625E-23,1.553091471411252E-23,-5.765963525030436E-25,2.4977072859879474E-23
845,2.0229595790343012E-23,-1.378904895829118E-23,1.3085896777611568E-23,1.7261221768547216E-23,-6.333236433239111E-25,2.551767123120874E-23
849.9999999999999,2.2354050459279827E-23,-1.2598027445246834E-23,1.2044684980369645E-23,1.9098589748874845E-23,-6.933631732407756E-25,2.6084016084990456E-23
855,2.4592089412756837E-23,-1.111214224157537E-23,1.0726317459537992E-23,2.1039705477624627E-23,-7.573546116169348E-25,2.667734907020099E-23
859.9999999999999,2.6936996860047857E-23,-9.282568609530379E-24,9.086633282638099E-24,2.3076925114909275E-23,-8.259868378898626E-25,2.7299181425737794E-23
865,2.933147289609981E-23,-7.088007015690379E-24,7.106074050350858E-24,2.515675909979825E-23,-8.971666160327434E-25,2.79398635388566E-23
869.9999999999999,3.179516271925536E-23,-4.438670574266141E-24,4.70315812852508E-24,2.729519523102429E-23,-9.741590356747021E-25,2.8611432152731804E-23
875,3.4334588115671087E-23,-1.2071111669635583E-24,1.761731706103952E-24,2.9495867947629754E-23,-1.0612265798349956E-24,2.932890645396644E-23
879.9999999999999,3.6851061597252606E-23,2.6574535383406158E-24,-1.7649192372054617E-24,3.166665902120078E-23,-1.1561461501400404E-24,3.0083611493685303E-23
885,3.9221801864958174E-23,7.182066359667719E-24,-5.901319764859186E-24,3.369362015191073E-23,-1.2565312489396862E-24,3.086380787327604E-23
890,4.1378379704807943E-23,1.2517688132160541E-23,-1.0784644036678008E-23,3.551040230106093E-23,-1.3664725634138557E-24,3.168561297482826E-23
894.9999999999999,4.3156558471166547E-23,1.8744443591880397E-23,-1.648522327547896E-23,3.69656264981428E-23,-1.4856833509147927E-24,3.255149485860024E-23
900,4.435015892144741E-23,2.5945027747711608E-23,-2.3076851569937652E-23,3.7866285475052425E-23,-1.6160886841206784E-24,3.346568238753902E-23
904.9999999999999,4.4688041429324686E-23,3.4181869334776225E-23,-3.0613976103170353E-23,3.7958369747464884E-23,-1.7612132703908166E-24,3.4433041093432294E-23
910,4.3836240696358435E-23,4.344477341007389E-23,-3.90818297126091E-23,3.69318749069485E-23,-1.9220988078874734E-24,3.5458812710684425E-23
914.9999999999999,4.1392829688070915E-23,5.362556157329317E-23,-4.837351817293899E-23,3.4415309445232345E-23,-2.100996613390943E-24,3.6548630468299684E-23
